"","keylist_data","Freq"
"361","15314",1
"362","156",2
"363","159",1
"364","16",54
"365","16,041",1
"366","16,071",1
"367","16,200",1
"368","16,286",4
"369","16,302",1
"370","16,500",1
"371","16,510",1
"372","16,606",1
"373","16,674",1
"374","16,939",1
"375","160",4
"376","164711",6
"377","165",1
"378","168",3
"379","169.",1
"380","17",42
"381","17,000",2
"382","17,028",3
"383","17,029",3
"384","17,084",1
"385","17,108",2
"386","17,250",3
"387","17,251",3
"388","17,497",1
"389","17,626",1
"390","17,651",1
"391","17,792",1
"392","17,810",3
"393","17,945",2
"394","17,968",4
"395","17.",1
"396","17.3",1
"397","17.4",2
"398","17.9",1
"399","17.99",2
"400","170.",1
"401","173",1
"402","175",1
"403","177",2
"404","178",2
"405","179",2
"406","17일기준",1
"407","18",83
"408","18,296",2
"409","18,297",2
"410","18,320",1
"411","18,337",2
"412","18,401",1
"413","18,402",1
"414","18,411",1
"415","18,419",1
"416","18,447",2
"417","18,485",1
"418","18,787",1
"419","18,875",1
"420","18,883",1
"421","18,932",1
"422","18,955",1
"423","18.",5
"424","18.9",1
"425","180",16
"426","181",4
"427","184",1
"428","185",1
"429","186",1
"430","19",44
"431","19,139",2
"432","19,189",1
"433","19,376",3
"434","19,500",4
"435","19,515",2
"436","19,530",1
"437","19,963",2
"438","19.",3
"439","191",5
"440","192.4",1
"441","1935",1
"442","1947",1
"443","1952",1
"444","1953",1
"445","1955",1
"446","1958",1
"447","1959",4
"448","1960",1
"449","1961",3
"450","1962",3
"451","1963",2
"452","1965",3
"453","1966",4
"454","1967",1
"455","1968",4
"456","1969",2
"457","1970",7
"458","1971",4
"459","1972",1
"460","1973",3
"461","1974",6
"462","1976",1
"463","1980",1
"464","1984",1
"465","1990",1
"466","1kg)",1
"467","1st",1
"468","1년미만",1
"469","1년이내",1
"470","1분기",17
"471","1심",12
"472","1월1일부터",1
"473","1월31일까",1
"474","1인당",1
"475","1인평",1
"476","1인평균",1
"477","1차연도",2
"478","1차연도는",1
"479","1처방",1
"480","2,000",3
"481","2,014",1
"482","2,025",2
"483","2,038",1
"484","2,058",1
"485","2,063",1
"486","2,077",2
"487","2,094",1
"488","2,111",1
"489","2,116",2
"490","2,117",1
"491","2,127",1
"492","2,155",4
"493","2,178",2
"494","2,201",1
"495","2,206",1
"496","2,208",1
"497","2,213",1
"498","2,216",1
"499","2,234",1
"500","2,239",1
"501","2,240",2
"502","2,250",1
"503","2,283",1
"504","2,322",1
"505","2,353",1
"506","2,367",2
"507","2,376",1
"508","2,387",1
"509","2,400",1
"510","2,407",2
"511","2,410",1
"512","2,425",1
"513","2,429",1
"514","2,430",1
"515","2,446",1
"516","2,468",3
"517","2,500",1
"518","2,539",1
"519","2,543",1
"520","2,549",1
"521","2,685",1
"522","2,688",2
"523","2,701",1
"524","2,712",2
"525","2,738",1
"526","2,769",2
"527","2,800",4
"528","2,810",1
"529","2,811",1
"530","2,900",5
"531","2,930",1
